thickness,rib1,rib2,bar,pos1,pos2,compliance,weight,sigma
5.309834305,44.06860757,11.38904145,287.265386,246.1998061,262.1131451,0.95499778,64.77393762,93562400
6.182900419,30.19567092,22.68945494,319.766013,244.3412693,193.7645353,1.059176694,73.40781543,103306000
3.970726614,39.31702387,10.72106554,368.6904555,376.4166721,326.1947645,1.164879811,50.89500145,133563000
5.838935152,39.23480049,17.33467928,366.615899,331.6822882,319.5775746,0.650047618,70.26903905,117908000
4.338167717,39.34559684,17.5021503,292.7133603,160.4322099,158.4168384,2.506549934,55.05068632,166065000
5.068469867,35.07096935,15.58684225,320.7482121,161.9162006,203.6938197,1.829762625,61.91666579,131675000
6.361338059,25.86467736,16.98915622,391.2018184,449.7886376,347.5142205,0.534674097,74.15565298,103792000
5.63694863,27.28240902,23.0900015,348.2404765,294.9694262,209.8025457,0.985216526,67.61915096,112217000
3.796714056,24.93454843,18.46855295,376.8926322,380.0361634,152.0436748,1.948750781,48.74304143,134712000
4.593002608,41.56645238,20.91479662,357.910395,347.1938826,249.1106604,1.054052406,58.05972562,141062000
7.880763054,27.92441501,22.78984494,317.216582,304.5348722,423.7216793,0.355493896,90.55635215,78817100
5.085540768,30.08388405,13.08756917,351.2915318,157.2822316,139.9546549,2.495504499,61.4485653,117900000
4.313488453,32.02419382,15.17108895,334.4847025,314.1333263,135.8796649,1.717174202,54.10208801,153707000
7.852621473,22.40474911,15.91476975,389.1297116,146.4211687,448.5785158,0.544621875,88.63078416,82033400
4.901919687,26.57061558,14.89784872,343.6112729,160.1200623,312.6966677,1.365749605,59.48675408,104445000
6.355129131,49.18669642,11.60697697,297.9659593,246.815504,249.4204531,0.790083959,76.00902017,177704000
7.590015262,57.8408043,19.6274341,309.4005635,415.9036795,325.6791026,0.352155169,90.97453678,91002900
6.654728931,25.55848754,19.3337313,369.5891389,292.4553738,259.7788431,0.700679289,77.33304631,81231700
4.650670792,47.15810996,23.50670688,311.901569,179.6308282,396.3081542,0.985607666,59.28805618,121787000
3.72710623,42.65586023,22.07321655,361.3097527,248.9909727,340.3385354,1.493673333,49.39564464,126383000
5.641881221,55.74005298,13.14934125,330.3572788,237.2898722,384.8601098,0.681326039,69.42437633,192616000
6.819292127,38.93206299,20.1799026,319.2748093,356.1539451,136.3114937,0.7367444,80.62583244,150993000
5.965450276,30.05193129,24.85854947,283.3109047,288.1595273,156.1855563,1.023029221,71.39676306,174768000
3.231930096,21.33725674,14.4834482,360.2041074,123.7738354,405.4143347,2.200810921,42.80262263,184528000
7.197469731,58.34815554,16.9015034,319.2303379,370.7056996,377.3996195,0.379420634,86.49991457,81377900
4.367117352,21.31472504,15.80743739,338.1538671,211.4508606,334.1198427,1.257845745,53.89535209,128984000
4.927075131,26.86276403,11.26610775,283.0083,143.9901515,403.6196691,0.988502241,59.45891041,100626000
6.611465867,22.83465529,12.15963282,303.5026964,292.9238656,294.3587928,0.577093134,75.79656652,94300000
3.366703955,27.16686519,10.65281555,358.8465206,341.1659989,350.0161122,1.407070065,44.21518724,161986000
3.463009749,29.68895699,14.80518028,367.8313698,391.1624568,357.6105068,1.344119551,45.53639146,167483000
5.115990532,24.62485914,14.73365843,381.5485471,139.1182906,437.6626088,1.059416713,61.42315663,95765900
5.885771037,54.6635964,21.71095183,319.0374334,320.111413,130.6292484,1.036675653,72.70660042,174367000
5.701693726,42.5977749,14.66109326,379.4188551,278.4750468,176.1839376,1.281052757,68.93301374,121480000
7.39547854,54.49737667,12.49467694,346.6835612,190.0846581,142.8292692,1.264220262,87.58640074,92616200
7.400118458,36.12268999,18.50019089,347.3744436,189.8070711,208.0759015,1.008264575,86.09726715,112670000
6.041553627,25.16867588,14.10494617,370.2715987,191.2868148,406.690265,0.754822902,70.58636233,91365600
